
🇨🇳港台电影,#genre#
美亚电影,http://php.jdshipin.com/PLTV/iptv.php?id=meiya
美亚电影,http://php.jdshipin.com/TVOD/iptv.php?id=meiya
美亚电影,https://smt.1678520.xyz/smt3.2.1.php?id=meiyamovie_twn
千禧经典台,https://o11.163189.xyz/stream/live/tvbc/#https://smt.1678520.xyz/smt3.2.5.php?id=Tvbclassic
亚洲武侠,https://cdn6.163189.xyz/163189/yzwx

千禧经典台,http://smt.veryfast.filegear-sg.me/smt3.2.1.php?id=Tvbclassic
千禧经典台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=tvbc

美亚电影(港),http://tl.061833.xyz/tl/null-5
美亚电影(港),http://bxtv.3a.ink/api.php?id=meiya

1905电影网A,https://cdn.jdshipin.com/1905.php
1905电影网A,http://xxwx.yoesun.com/xxw/1905电影网.php?id=1905
1905电影网A,http://8.138.7.223/tv/1905.php?id=LIVEOYY31H24H48NE
1905电影网B,http://xxwx.yoesun.com/xxw/1905电影网.php?id=1905b

1905电影网A,http://php.jdshipin.com:8880/1905.php?id=1905dy
1905电影网B,http://8.138.7.223/tv/1905.php?id=LIVE8J4LTCXPI7QJ5
1905电影网A,http://xxwx.yoesun.com/xxw/1905电影网.php?id=1905
1905电影网A,http://php.jdshipin.com/1905.php
亚洲武侠,http://php.jdshipin.com/TVOD/iptv.php?id=yzwx
亚洲武侠,http://php.jdshipin.com/TVOD/iptv.php?id=yzwx
亚洲武侠,http://php.jdshipin.com/TVOD/iptv.php?id=yzwx
翡翠剧集台,https://6.cdn.loc.cc/163189.php?id=tvbd
中国电影频道,http://tl.061833.xyz/tl/null-6
澳门莲花,http://cdn6.163189.xyz/163189/amlh
澳门莲花,http://60.246.108.93:12179/stream/channelid/964711426?profile=pass
中国电影频道,http://120.76.248.139/live/bfgd/4200000290.m3u8
凤凰电影,http://iot-mqqt.111yao.cn:8080/live/diyp_fhdy.m3u8
凤凰电影,http://122.224.58.42:85/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0

CHC动作电影,http://103.163.47.120:555/mg.php?id=644368714&token=MYTOKEN666888 
CHC家庭影院,http://103.163.47.120:555/mg.php?id=644368373&token=MYTOKEN666888 
CHC影迷电影,http://103.163.47.120:555/mg.php?id=952383261&token=MYTOKEN666888 

CHC动作电影,http://61.184.46.85:85/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0
CHC家庭影院,http://61.184.46.85:85/tsfile/live/1023_1.m3u8?key=txiptv&playlive=1&authid=0
CHC动作电影,http://112.92.129.96:9898/hls/119/index.m3u8
CHC家庭影院,http://112.92.129.96:9898/hls/118/index.m3u8
CHC影迷电影,http://112.92.129.96:9898/hls/53/index.m3u8
CHC家庭影院,http://38.75.136.137:98/gslb/dsdqpub/chcjt.m3u8?auth=testpub
CHC动作电影,http://38.75.136.137:98/gslb/dsdqpub/chcdz.m3u8?auth=testpub
CHC影迷电影,http://38.75.136.137:98/gslb/dsdqpub/chchd.m3u8?auth=testpub
CHC家庭影院,http://m.061899.xyz/mg/jtyy
CHC动作电影,http://m.061899.xyz/mg/dzdy
CHC影迷电影,http://m.061899.xyz/mg/ymdy
CHC动作电影,http://t.061899.xyz/tl/dq.php?id=dzdy
CHC家庭影院,http://t.061899.xyz/tl/dq.php?id=jtyy
CHC影迷电影,http://t.061899.xyz/tl/dq.php?id=ymdy

CHC家庭影院,http://219.155.103.228:4022/rtp/225.1.2.214:11422
CHC家庭影院,http://lysj.aylzline.top:8899/rtp/225.1.2.214:11422
CHC动作电影,http://219.155.103.228:4022/rtp/225.1.2.215:11428
CHC动作电影,http://lysj.aylzline.top:8899/rtp/225.1.2.215:11428
CHC影迷电影,http://219.155.103.228:4022/rtp/225.1.2.210:11398
CHC影迷电影,http://lysj.aylzline.top:8899/rtp/225.1.2.210:11398
经典电影,http://219.155.103.228:4022/rtp/225.1.2.167:11020
经典电影,http://lysj.aylzline.top:8899/rtp/225.1.2.167:11020

CHC家庭影院,http://m.061899.xyz/mg/jtyy
CHC家庭影院,http://117.174.25.254:8188/rtp/239.0.0.23:5140
CHC家庭影院,http://gat.bkpcp.top:80/ymg.php?id=jtyy
CHC动作电影,http://m.061899.xyz/mg/dzdy

CHC动作电影,http://go.bkpcp.top/mg/dzdy
CHC影迷电影,http://go.bkpcp.top/mg/ymdy
CHC家庭影院,http://go.bkpcp.top/mg/jtyy

CHC动作电影,http://sh.lnott.top:880/dx100.m3u8$辽宁移动
CHC家庭影院,http://sh.lnott.top:880/dx93.m3u8$辽宁移动
CHC影迷电影,http://sh.lnott.top:880/dx101.m3u8$辽宁移动

CHC影迷电影,http://183.3.202.19:2380/hw1live.rxip.sc96655.com.huan.tv/live/lnwsCHC-HDH265_4000.m3u8
CHC动作电影,http://183.3.202.19:2380/hw1live.rxip.sc96655.com.huan.tv/live/wqCHCdzdyH265_4000.m3u8
CHC家庭影院,http://183.3.202.19:2380/hw1live.rxip.sc96655.com.huan.tv/live/jbtygqCHCjtyyH265_4000.m3u8


CHC动作电影,http://117.174.25.254:8188/rtp/239.0.0.24:5140
CHC动作电影,http://gat.bkpcp.top:80/ymg.php?id=dzdy
CHC影迷电影,http://m.061899.xyz/mg/ymdy
CHC影迷电影,http://117.174.25.254:8188/rtp/239.0.0.25:5140
CHC影迷电影,http://gat.bkpcp.top:80/ymg.php?id=ymdy
重温经典,http://m.061899.xyz/mg/cwjd
重温经典,http://120.76.248.139/live/bfgd/4200000636.m3u8
重温经典,http://ygbh.site/php/bfgd.php?id=636
重温经典,http://120.76.248.139/live/bfgd/4200000635.m3u8
重温经典,https://other.ottiptv.cc/cwjd.m3u8
黄金华剧频道,http://tl.061833.xyz/tl/null-9
经典电影轮播,rtmp://live.gxrb.com.cn/pull/red_movies_0501

纬来电影,https://hls.iill.top/api/wldy/index.m3u8
东森电影,https://hls.iill.top/api/dsdy/index.m3u8
东森洋片,https://hls.iill.top/api/dsyp/index.m3u8
龙祥时代,https://hls.iill.top/api/lxsd/index.m3u8

龙祥时代,https://smart.dxjc.pp.ua/smart.php?id=lungxiangtime_twn&token=tmxk
龙祥时代,https://smart.dxjc.pp.ua/smart.php?id=lungxiangtime_twn&token=tmxk

邵氏经典HD,https://stream1.freetv.fun/d8f66a980ecbfcf9ff9db3b098d87b06793378b6f0d84e28717bfb2da14c2124.m3u8
邵氏动作 HD,https://stream1.freetv.fun/74ff62421aeda7787c01ed5968f3e6176a418bf608351ac8faf5c3d501c70eab.m3u8
邵氏喜剧 HD,https://stream1.freetv.fun/5b5db4070d49b6949aad5a643411dbcf20868919c31ec99f9881cc1e19f2eaa0.m3u8
邵氏武侠 HD,https://stream1.freetv.fun/960fbbbedcdd596709ff256d7a80286a70a6820a03e20d4d4eaa49816ba4d4c1.m3u8
邵氏经典 HD,https://stream1.freetv.fun/d8f66a980ecbfcf9ff9db3b098d87b06793378b6f0d84e28717bfb2da14c2124.m3u8

邵氏动作,http://38.75.136.137:98/gslb/dsdqpub/lbssdz.m3u8?auth=testpub
邵氏喜剧,http://38.75.136.137:98/gslb/dsdqpub/lbssxj.m3u8?auth=testpub
邵氏电影,http://38.75.136.137:98/gslb/dsdqpub/lbssdy.m3u8?auth=testpub
邵氏武侠,http://38.75.136.137:98/gslb/dsdqpub/lbsswx.m3u8?auth=testpub
邵氏动作,https://stream1.freetv.fun/74ff62421aeda7787c01ed5968f3e6176a418bf608351ac8faf5c3d501c70eab.m3u8
邵氏喜剧,https://stream1.freetv.fun/5b5db4070d49b6949aad5a643411dbcf20868919c31ec99f9881cc1e19f2eaa0.m3u8
邵氏武侠 ,https://stream1.freetv.fun/960fbbbedcdd596709ff256d7a80286a70a6820a03e20d4d4eaa49816ba4d4c1.m3u8
邵氏电影,https://stream1.freetv.fun/d8f66a980ecbfcf9ff9db3b098d87b06793378b6f0d84e28717bfb2da14c2124.m3u8

黄金华剧台,https://my5353.com/9011 
黄金翡翠台,https://my5353.com/9010 
天映经典台,https://my5353.com/9009 
美亚电影台,https://my5353.com/9008
东森电影,http://rihou.cc:555/tv/东森电影
东森洋片,http://8.218.84.3:8885/live/LxWcScuQ6WphaELY4DhkKm8SIv7_ZgNIJtNvFurqphvyqxUIU84OjKVCwFxMq9iUHWMHCytb2VBItbRCwo0LyueGr-6I5WurXyVzCPErAn1bIY0Xo0oD4WTTmWvbwk0WlRLAiSKjvvk1qlTgn_rvKqmndIlkvXOsgb2pLGqYWlBY4bum9lzyFDqrQV09sm9mH8Norh0gOkpeKmnKhs7l0EGvOTpy8B5LkIDy-zcVjSoBzBiSy2SqAL9FF4LqSM_pIZGYBuWkuHd68RQGk25yig.m3u8?u=1756878715

TVB Plus,https://smt.1678520.xyz/163189/de659ed6e3ab1e55
纬来电影台,https://smt.1678520.xyz/163189/602e9465658d4f8c
纬来戏剧台,https://smt.1678520.xyz/163189/ab657380c65c1fd1
纬来体育台,https://smt.1678520.xyz/163189/b10b2645c6d9de2b
龙祥时代,https://smt.1678520.xyz/163189/6963a2247128286b
东森电影,https://smt.1678520.xyz/163189/a2c09ea65fb10aa2
东森戏剧,https://smt.1678520.xyz/163189/f60cd3f14b06dabc
东森洋片,https://smt.1678520.xyz/163189/cd69d6ff4e8217c7

TVB Plus,https://smt.1678520.xyz/163189/18e96648d4420d9e
纬来电影台,https://smt.1678520.xyz/163189/145487bee05856fc
纬来戏剧台,https://smt.1678520.xyz/163189/3586bd154f561caa
纬来体育台,https://smt.1678520.xyz/163189/286f8eb30448a8e8
龙祥时代,https://smt.1678520.xyz/163189/76e7d8326be4c1bb
金光布袋戏,http://o11.163189.xyz/stream/live/jgbdx/
东森电影,https://smt.1678520.xyz/163189/a2a1ea789e237e18
东森戏剧,https://smt.1678520.xyz/163189/2824421ea53c4891
东森洋片,https://smt.1678520.xyz/163189/c0e7a31a1ec220fd
东森洋片,https://smart.dxjc.pp.ua/smart.php?id=ettvwestern&token=tmxk
龙祥时代,https://smart.dxjc.pp.ua/smart.php?id=lungxiangtime_twn&token=tmxk
﻿Juli,#genre#
翡翠台,http://mytv.cdn.loc.cc/o12.php?id=fct
翡翠台,http://o11.163189.xyz/stream/tvb/fct/
翡翠台4K,http://o11.163189.xyz/stream/tvb/fct4k/
TVB PLUS,http://o11.163189.xyz/stream/tvb/tvbp/
明珠台,http://o11.163189.xyz/stream/tvb/mzt/
明珠台,http://mytv.cdn.loc.cc/o12.php?id=mzt
VIUTV,https://cdn10.163189.xyz/stream/163189/viu/
VIUTVSIX,https://cdn10.163189.xyz/stream/163189/viu6/
TVB亚洲武侠,http://v2h.veryfast.filegear-sg.me/live/yzwx/stream.m3u8
娱乐新闻台,http://v2h.veryfast.filegear-sg.me/live/ylxw/stream.m3u8
TVB星河,http://v2h.veryfast.filegear-sg.me/live/tvbxh/stream.m3u8
TVB星河,http://o11.163189.xyz/stream/live/tvbxh/
TVB星河,https://cdn10.163189.xyz/stream/163189/xinghe/
天映新加坡,https://cdn10.163189.xyz/stream/163189/typd/
天映经典频道,https://cdn10.163189.xyz/stream/163189/ccm/
千禧经典台,http://o11.163189.xyz/stream/live/tvbc/
天映频道,http://o11.163189.xyz/stream/live/typd/
天映经典频道,http://o11.163189.xyz/stream/live/ccm/

金光布袋戏,http://o11.163189.xyz/stream/live/jgbdx/
ASTROAOD,http://o11.163189.xyz/stream/live/aod/
ASTROAEC,http://o11.163189.xyz/stream/live/aec/
ASTROQJ,http://o11.163189.xyz/stream/live/qj/
ASTRO欢喜台,http://o11.163189.xyz/stream/live/hxt/
IQIYI,http://o11.163189.xyz/stream/live/iqiyi/
纬来体育台,http://185.44.67.64:53874/proxy/61c0ab7561e12ec3.m3u8
龙祥时代,http://185.44.67.64:53874/proxy/2d66d33d15880c20.m3u8
美亚电影,http://185.44.67.64:53874/proxy/c10efe20c00cbe2a.m3u8
年代新闻,http://185.44.67.64:53874/proxy/bc7685dc95fd47bd.m3u8


🇨🇳港,#genre#


翡翠台,https://php.jdshipin.com:2096/smt.php?id=jade_twn
翡翠台,https://php.jdshipin.com:2096/smt.php?id=jade_xue
华丽翡翠台,https://php.jdshipin.com:2096/smt.php?id=Tvbjade
华丽翡翠台,https://php.jdshipin.com:2096/smt.php?id=Wlt
TVB星河,https://php.jdshipin.com:2096/smt.php?id=Xinhe
明珠台,https://php.jdshipin.com:2096/smt.php?id=pearl_twn
TVB Plus,https://php.jdshipin.com:2096/smt.php?id=j2_twn
无线新闻,https://php.jdshipin.com:2096/smt.php?id=inews_twn
TVB娱乐新闻台,https://php.jdshipin.com:2096/smt.php?id=Tvbentertainment
ViuTV,https://php.jdshipin.com:2096/smt.php?id=viu1_twn
ViuTVSix,https://php.jdshipin.com:2096/smt.php?id=viusix_twn
HOY资讯台,https://php.jdshipin.com:2096/smt.php?id=hoycaijing_twn
RTHK31,https://php.jdshipin.com:2096/smt.php?id=rhk31_twn
RTHK32,https://php.jdshipin.com:2096/smt.php?id=rhk32_twn
千禧经典台,https://php.jdshipin.com:2096/smt.php?id=Tvbclassic
美亚电影台,https://php.jdshipin.com:2096/smt.php?id=meiyamovie_twn
天映频道,https://php.jdshipin.com:2096/smt.php?id=Celestial
天映经典,https://php.jdshipin.com:2096/smt.php?id=Celestial2
凤凰中文,https://php.jdshipin.com:2096/smt.php?id=phoenixtv_hd
凤凰资讯,https://php.jdshipin.com:2096/smt.php?id=phoenixinfo_hd
凤凰香港,https://php.jdshipin.com:2096/smt.php?id=hkphoenix_twn
八度空间,https://php.jdshipin.com:2096/smt.php?id=TV8
Astro AOD,https://php.jdshipin.com:2096/smt.php?id=Aodhd
Astro AEC,https://php.jdshipin.com:2096/smt.php?id=AEC
爱奇艺,https://php.jdshipin.com:2096/smt.php?id=Qiyi
Astro QJ,https://php.jdshipin.com:2096/smt.php?id=Quanjia
Astro欢喜台,https://php.jdshipin.com:2096/smt.php?id=Huahee
纬来电影,https://php.jdshipin.com:2096/smt.php?id=videolandmovie
纬来体育,https://php.jdshipin.com:2096/smt.php?id=videolandsport
香港卫视,http://webcast.hkstv.tv/livestream/mutfysrq/playlist.m3u8
环球电视台,http://utv1.hqtvzb.com:9999/hls/world.m3u8

翡翠台(WebVTT字幕),https://hls.163189.xyz/163189/0205c25f6b2ce920
明珠台(WebVTT字幕),https://hls.163189.xyz/163189/d6a00a3009bf239e
TVB Plus(WebVTT字幕),https://hls.163189.xyz/163189/a2beac471af96802
黄金华剧台(WebVTT字幕),https://hls.163189.xyz/163189/71fb62ece10887e8
pₒₚc电影,http://tl.061833.xyz/tl/popc
Plus综合,http://tl.061833.xyz/tl/pluse
无线新闻,http://tl.061833.xyz/tl/null-11
无线翡翠,http://tl.061833.xyz/tl/null
无线明珠,http://tl.061833.xyz/tl/null-12
无线娱乐,http://tl.061833.xyz/tl/null-14
无线经典,http://tl.061833.xyz/tl/null-3
无线综合,http://tl.061833.xyz/tl/mytvsuperfree
无线戏曲,http://tl.061833.xyz/tl/null-15
无线粤片,http://tl.061833.xyz/tl/null-10
无线亚剧,http://tl.061833.xyz/tl/null-13 
无线华剧,http://tl.061833.xyz/tl/null-4 
无线少儿,http://tl.061833.xyz/tl/superkidschannel
无线赛马,http://tl.061833.xyz/tl/mytvsuper18 
黄金翡翠,http://tl.061833.xyz/tl/null-2 
黄金华剧,http://tl.061833.xyz/tl/null-9
天映经典,http://tl.061833.xyz/tl/null-1
国家地理,http://tl.061833.xyz/tl/lovenaturehd  
美亚电影,http://tl.061833.xyz/tl/null-5
中国电影,http://tl.061833.xyz/tl/null-6
AXN电影,http://tl.061833.xyz/tl/axn
KIX_韩综,http://tl.061833.xyz/tl/kix
ANIMAX',http://tl.061833.xyz/tl/animax
rock娱乐,http://tl.061833.xyz/tl/rockaction
rock综艺,http://tl.061833.xyz/tl/rock
Nick儿童,http://tl.061833.xyz/tl/nickjr
Nick少儿,http://tl.061833.xyz/tl/nickelodeon
ZooMoo',http://tl.061833.xyz/tl/zoomoo
澳门,#genre#
澳视澳门,http://php.jdshipin.com/TVOD/iptv.php?id=asam
澳视卫星,http://php.jdshipin.com/TVOD/iptv.php?id=as
澳门Mac,http://php.jdshipin.com/PLTV/iptv.php?id=as
澳视澳门,http://php.jdshipin.com/PLTV/iptv.php?id=asam
澳视澳门,http://grandprix2023.asuscomm.com:8891/bysid/91.m3u8
澳视葡语,http://grandprix2023.asuscomm.com:8891/bysid/92.m3u8
澳门资讯,http://grandprix2023.asuscomm.com:8891/bysid/94.m3u8
澳门Mac,http://grandprix2023.asuscomm.com:8891/bysid/96.m3u8
澳视澳门,http://103.233.191.134:1935/ch1/ch1.live/playlist.m3u8
澳视葡文,http://103.233.191.134:1935/ch2/ch2.live/playlist.m3u8
澳视卫星,http://103.233.191.134:1935/ch3/ch3.live/playlist.m3u8
澳视体育,http://103.233.191.134:1935/ch4/sport_ch4.live/playlist.m3u8
澳视资讯,http://103.233.191.134:1935/ch5/info_ch5.live/playlist.m3u8
澳视综艺,http://103.233.191.134:1935/ch6/hd_ch6.live/playlist.m3u8

澳门体育,http://cdn6.163189.xyz/163189/amty
澳门综艺,http://cdn6.163189.xyz/163189/amzy
澳门莲花,http://cdn6.163189.xyz/163189/amlh
澳视澳门,http://cdn6.163189.xyz/163189/asam
🇨🇳港台测试,#genre#

凤凰中文,http://tv.groupshare.com.cn/fhtv?id=cn
凤凰资讯,http://tv.groupshare.com.cn/fhtv?id=info
凤凰香港,http://tv.groupshare.com.cn/fhtv?id=hk

凤凰中文,https://cdn6.163189.xyz/163189/fhzw
凤凰资讯,https://cdn6.163189.xyz/163189/fhzx
凤凰香港,https://cdn6.163189.xyz/163189/fhhk

凤凰中文,https://smt.1678520.xyz/smt3.2.3.php?id=phoenixtv_hd
凤凰资讯,https://smt.1678520.xyz/smt3.2.3.php?id=phoenixinfo_hd
凤凰香港,https://smt.1678520.xyz/smt3.2.3.php?id=hkphoenix_twn

凤凰中文,http://zmgd.zyrnet.com:8888/hls/110/index.m3u8$郑州酒店
凤凰资讯,http://zmgd.zyrnet.com:8888/hls/109/index.m3u8$郑州酒店
凤凰中文,http://219.145.93.74:10000/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0$陕西电信酒店
翡翠台4K,https://o11.163189.xyz/stream/tvb/fct4k/

TVB翡翠台,http://aipyou.com:8080/live/yifatv-jade01.m3u8
无线新闻台,http://aipyou.com:8080/live/yifatv-wxxw01.m3u8
翡翠台,http://r.jdshipin.com/62WM7
翡翠台2,http://r.jdshipin.com/qrfbg
无线新闻,http://r.jdshipin.com/CkuBd
明珠台,http://r.jdshipin.com/ZQ4kN
TVB Plus,http://r.jdshipin.com/ndGgS
TVB Plus,http://r.jdshipin.com/Nr5jq
TVB星河,http://r.jdshipin.com/Voac4
TVB星河,http://r.jdshipin.com/sXuuD
华丽翡翠台,http://r.jdshipin.com/thuYX
ViuTV,http://r.jdshipin.com/vSJvl
ViuTV,http://r.jdshipin.com/TcKr2
凤凰中文,http://r.jdshipin.com/cCCzW
凤凰资讯,http://r.jdshipin.com/0Rp07
凤凰香港,http://r.jdshipin.com/yDoTN
凤凰香港,http://r.jdshipin.com/NfC0f
澳视澳门,http://r.jdshipin.com/n2YZI
HOY77,http://r.jdshipin.com/sFw4S
澳视澳门,http://r.jdshipin.com/n2YZI
澳视卫星,http://r.jdshipin.com/QFhCq

翡翠台,https://hls.iill.top/api/TVB-Jade/index.m3u8
无限新闻台,https://hls.iill.top/api/TVB-News/index.m3u8
TVB Plus,https://hls.iill.top/api/TVB-Plus/index.m3u8
BBC Earth,https://hls.iill.top/api/BBC-Earth/index.m3u8
BBC Lifestyle,https://hls.iill.top/api/BBC-Lifestyle/index.m3u8
Discovery,https://hls.iill.top/api/Discovery/index.m3u8
HBO,https://hls.iill.top/api/HBO/index.m3u8
HBO Hits,https://hls.iill.top/api/HBO-Hits/index.m3u8
HBO Family,https://hls.iill.top/api/HBO-Family/index.m3u8
HBO Signature,https://hls.iill.top/api/HBO-Signature/index.m3u8
動物星球,https://hls.iill.top/api/dwxq/index.m3u8
緯來日本,https://hls.iill.top/api/wlrb/index.m3u8
纬来体育,https://hls.iill.top/api/wlty/index.m3u8
纬来电影,https://hls.iill.top/api/wldy/index.m3u8
东森电影,https://hls.iill.top/api/dsdy/index.m3u8
东森洋片,https://hls.iill.top/api/dsyp/index.m3u8
龙祥时代,https://hls.iill.top/api/lxsd/index.m3u8
博斯無限一,https://tv.iill.top/FainTV/129
博斯無限二,https://tv.iill.top/FainTV/418
博斯運動一,https://tv.iill.top/FainTV/102
博斯運動二,https://tv.iill.top/FainTV/124
博斯高球一,https://tv.iill.top/FainTV/108
博斯高球二,https://tv.iill.top/FainTV/125
博斯網球,https://tv.iill.top/FainTV/53
博斯魅力,https://tv.iill.top/FainTV/135
MOMO運動綜合,https://tv.iill.top/FainTV/14009
中天亞洲,https://tv.iill.top/FainTV/121



翡翠台,https://cdn6.163189.xyz/163189/fct
NOW新闻台,https://cdn.163189.xyz/163189/now
翡翠台4K,https://cdn6.163189.xyz/163189/fct4k
翡翠台(字幕),https://mytv.cdn.loc.cc/o12.php?id=fct
明珠台(字幕),https://mytv.cdn.loc.cc/o12.php?id=mzt
TVB1,https://6.cdn.loc.cc/163189.php?id=tvb1
翡翠剧集台,https://6.cdn.loc.cc/163189.php?id=tvbd
八度空间,http://cdn6.163189.xyz/163189/8tv
八度空间,http://smt.1678520.xyz/smt3.2.3.php?id=TV8
CH5,http://cdn6.163189.xyz/163189/ch5
CH8,http://cdn6.163189.xyz/163189/ch8
CHU,http://cdn6.163189.xyz/163189/chu

明珠台,http://mytv.cdn.loc.cc/o12.php?id=mzt
娱乐新闻,https://cdn6.163189.xyz/163189/ylxw
翡翠台,http://t.061899.xyz/tl/js/js.php?id=tvbfct
无线新闻,https://cdn6.163189.xyz/163189/wxxw

翡翠台,http://php.jdshipin.com/smt.php?id=jade_twn
华丽翡翠台,http://php.jdshipin.com/smt.php?id=Tvbjade
无线新闻台,http://php.jdshipin.com/smt.php?id=inews_twn
Now新闻,http://cdn.163189.xyz/163189/now 
TVB星河,http://php.jdshipin.com/smt.php?id=Xinhe
千禧经典台,http://php.jdshipin.com/smt.php?id=Tvbclassic
TVB娱乐新闻台,http://php.jdshipin.com/smt.php?id=Tvbentertainment
天映频道,http://php.jdshipin.com/smt.php?id=Celestial
天映经典,http://php.jdshipin.com/smt.php?id=Celestial2
Astro AOD,http://php.jdshipin.com/smt.php?id=Aodhd
Astro AEC,http://php.jdshipin.com/smt.php?id=AEC
爱奇艺,http://php.jdshipin.com/smt.php?id=Qiyi
Astro QJ,http://php.jdshipin.com/smt.php?id=Quanjia
Astro欢喜台,http://php.jdshipin.com/smt.php?id=Huahee
八度空间,http://php.jdshipin.com/smt.php?id=TV8
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct2
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct3
翡翠台4k,http://php.jdshipin.com/TVOD/iptv.php?id=fct4
明珠台,http://php.jdshipin.com/TVOD/iptv.php?id=mzt
明珠台,http://php.jdshipin.com/TVOD/iptv.php?id=mzt2
翡翠台北美版(TVB J1),http://php.jdshipin.com/TVOD/iptv.php?id=j1
TVB J1,http://php.jdshipin.com/TVOD/iptv.php?id=tvbj1
TVB Plus,http://php.jdshipin.com/TVOD/iptv.php?id=j2
TVB Plus,http://php.jdshipin.com/TVOD/iptv.php?id=tvbp
VIUTV,http://php.jdshipin.com/TVOD/iptv.php?id=viutv
VIUTV,http://php.jdshipin.com/TVOD/iptv.php?id=viutv2
VIUTV6,http://php.jdshipin.com/smt.php?id=viusix_twn
HOYTV77,http://php.jdshipin.com/TVOD/iptv.php?id=hoytv
HOYTV78,http://php.jdshipin.com/TVOD/iptv.php?id=hoytv2
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw2
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx2
凤凰香港,http://php.jdshipin.com/TVOD/iptv.php?id=fhhk
凤凰香港,http://php.jdshipin.com/TVOD/iptv.php?id=fhhk2
美亚电影,http://php.jdshipin.com/TVOD/iptv.php?id=meiya
美亚电影2,http://php.jdshipin.com/smt.php?id=meiyamovie_twn
重温经典,http://php.jdshipin.com/TVOD/iptv.php?id=cwjd
广东珠江,http://php.jdshipin.com/TVOD/iptv.php?id=gdzj
广东体育,http://php.jdshipin.com/TVOD/iptv.php?id=gdty
澳视澳门,http://php.jdshipin.com/TVOD/iptv.php?id=asam
澳视卫星,http://php.jdshipin.com/TVOD/iptv.php?id=as
